institution_id,name,address,phone,fax,email,internet
142157769,Vladimir State University,"Gorky Street 87
600000 Vladimir
Russische Föderation",+7 4922 233358,,prorms@vlsu.ru,Zur Homepage
28835,Universität Erfurt Universitäts- und Forschungsbibliothek Gotha,"Schloß Friedenstein
99867 Gotha
Deutschland",+49 3621 737-5530,+49 3621 737-5539,bibliothek.gotha@uni-erfurt.de,Zur Homepage
232617700,Institutum Romanum Finlandiae,"Passeggiata del Gianicolo, 10
00165 Roma
Italien",+39 6 6880-1674,+39 6 6880-2349,info@irfrome.org,Zur Homepage
232634002,Arcelor Mittal Hamburg GmbH,"Dradenaustraße 33
21129 Hamburg
Deutschland",,,,Zur Homepage
13069,Evangelische Hochschule Rheinland-Westfalen-Lippe,"Immanuel-Kant-Straße 18-20
44803 Bochum
Deutschland",+49 234 36901-0,+49 234 36901-100,evh@evh-bochum.de,Zur Homepage
10737,Heinrich-Barth-Institut e.V. für Archäologie & Umweltgeschichte Afrikas (e.V.) an der Universität zu Köln,"Jennerstraße 8
50823 Köln
Deutschland",+49 221 55-6680,+49 221 55-4440,fst.afrika@uni-koeln.de,Zur Homepage
290829356,The Novo Nordisk Foundation Center for Biosustainability,"Kogle Alle 6
2970 Hørsholm
Dänemark",,,,
270462727,Nicolae-Iorga Institut für Geschichte,"Bulevardul Aviatorilor 1
Bucuresti
Rumänien",,,,
63894553,"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie (FKIE)","Fraunhoferstraße 20
53343 Wachtberg
Deutschland",+49 228 9435-0,+49 228 9435-685,peter.martini@fkie.fraunhofer.de,Zur Homepage
10337,Christian-Albrechts-Universität zu Kiel,"
24098 Kiel
Deutschland",+49 431 880-00,+49 431 880-2072,mail@uni-kiel.de,Zur Homepage
64427715,Serbian Academy of Sciences and Arts Institut of Technical Science,"Knez-Mihailova 35/IV
11000 Belgrade
Serbien",,,,
366345554,Universidad Nacional Autónoma de México Instituto de Ciencias Nucleares ICN UNAM,"Deleg. Coyoacán C.P. 04510
Ciudad de México
Mexiko",+52 55 5622,+52 55 5622,,
233498249,Ziehm Imaging GmbH,"Donaustraße 31
90451 Nürnberg
Deutschland",+49 911 21720,+49 911 2172390,info@ziehm-eu.com,Zur Homepage
20169186,Emory University,"201 Dowman Drive
Atlanta GA 30322
USA",+1 404 727-6123,,,Zur Homepage
10150,Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt,"Ingolstädter Landstraße 1
85764 Neuherberg
Deutschland",+49 89 3187-0,+49 89 3187-3322,info@helmholtz-muenchen.de,Zur Homepage
185477661,IBL Innovative Berlin Laser GmbH,"Am Schlangengraben 16
13597 Berlin
Deutschland",,,,
27830059,Marien Hospital Düsseldorf Katholische Stiftung,"Rochusstraße 2
40479 Düsseldorf
Deutschland",+49 211 4400-0,+49 211 4400-2588,info@marien-hospital.de,Zur Homepage
47837937,Oechsler AG,"Matthias-Oechsler-Straße 9
91522 Ansbach
Deutschland",,,,
55211222,Russian Academy of Sciences (RAS) A.V.Shubnikov Institute of Crystallography,"Leninskii prospekt 59
119333 Moscow
Russische Föderation",+7 495 135-6541,,,Zur Homepage
30018,Julius-Maximilians-Universität Würzburg Rudolf-Virchow-Zentrum für Experimentelle Biomedizin,"Josef-Schneider-Straße 2
97080 Würzburg
Deutschland",+49 931 31-80330,+49 931 31-87321,rvz@virchow.uni-wuerzburg.de,Zur Homepage
160871998,Humboldt-Universität zu Berlin Institut für Archäologie,"Unter den Linden 6
10099 Berlin
Deutschland",+49 30 2093-2265,,archaeologie.sek@hu-berlin.de,Zur Homepage
78189944,Planungsbüro für Bauwerksabbruch,"Omsewitzer Höhe 7
01157 Dresden
Deutschland",+49 351 421-8201,+49 351 421-8202,dr.r.melzer@arcor.de,
42184969,Cancer Research UK,"407 St John Street
London EC1V 4AD
Großbritannien",+44 20 7242-0200,+44 20 3469-6400,,Zur Homepage
12980992,Shanghai Jiao Tong University,"800 Dongchuan Rd., Minhang District
Shanghai 200240
China",+86 21 54740000,+86 21 62817613,iso@sjtu.edu.cn,Zur Homepage
388015811,"Universitätsklinik für Hals-, Nasen- und Ohrenkrankheiten Medizinische Universität Wien","Währinger Gürtel 18-20
1090 Wien
Österreich",,,,Zur Homepage
20781380,Charles University in Prague,"Ovocný trh 5
11636 Praha 1
Tschechische Republik",+420 2 24491111,+420 2 24210695,uk@cuni.cz,Zur Homepage
19042568,Universidad Técnica Particular de Loja (UTPL),"P. O. Box 11-01-608
Loja
Ecuador",+593 7 2570-275,+593 7 584-893,webmaster@utpl.edu.ec,Zur Homepage
19247225,IBM T. J. Watson Research Center,"1101 Kitchawan Road
Yorktown NY 10598
USA",+1 914 9452053,+1 914 9454531,cklinke@us.ibm.com,
21090644,Dalian University of Technology,"P. O. Box 116024
Dalian
China",+86 411 4708114,+86 411 4708116,office@dlut.edu.cn,Zur Homepage
280498097,Indian Institute of Technology Gandhinagar Discipline of Earth Sciences,"
Palaj Gandhinagar 382355
Indien",,,,
38150589,Durham University,"Stockton Road
Durham DH1 3LE
Großbritannien",+44 191 334-2000,,,Zur Homepage
421477,Università degli Studi di Trento,"via Calepina 14
38122 Trento
Italien",+39 461 28-1111,,ateneo@unitn.it,Zur Homepage
21094044,Wesleyan University,"45 Wyllys Avenue
Middletown CT 06459
USA",+1 860 685-2000,,,Zur Homepage
14209,Ernst-Moritz-Arndt-Universität Greifswald Universitätsrechenzentrum,"Felix-Hausdorff-Straße 12
17489 Greifswald
Deutschland",+49 3834 86-1442,+49 3834 86-1401,callcent@uni-greifswald.de,Zur Homepage
15191542,Institute of Geological and Nuclear Sciences,"1 Fairway Drive / PO Box 30368
Lower Hutt 5040
Neuseeland",,,,Zur Homepage
135372000,Universidad Arturo Prat. Iquique,"Avenida Arturo Prat. Nº 2120
Iquique
Chile",+56 57 394444,,,Zur Homepage
24839771,Geological Survey of Finland (GTK),"P.O. Box 96
02151 Espoo
Finnland",+358 20 55011,,,Zur Homepage
183111176,SRON - Netherlands Institute for Space Research,"Sorbonnelaan 2
3584 CA Utrecht
Niederlande",,,,Zur Homepage
183320434,Oerlikon Balzers Coating Germany GmbH,"Am Ockenheimer Graben 41
55411 Bingen
Deutschland",+49 6721 793-0,+49 6721 2374,info.balzers.de@oerlikon.com,Zur Homepage
13759374,IMP - Research Institute of Molecular Pathology,"Campus-Vienna-Biocenter 1
1030 Wien
Österreich",+43 1 79730,+43 1 7987153,office@imp.univie.ac.at,Zur Homepage
59942206,Max Planck Digital Library (MPDL),"Amalienstraße 33
80799 München
Deutschland",+49 89 38602-226,+49 89 38602-280,sander-office@mpdl.mpg.de,Zur Homepage
26538469,University of Pretoria,"P. O. Box 392
Pretoria 0003
Südafrika",+27 12 420-3111,+27 12 420-4555,csc@up.ac.za,Zur Homepage
277068059,Uniwersytet Jagiellonski Wydziale Polonistyki Katedra Performatyki na Wydziale Polonistyki,"ul. Golebia 16
31-007 Kraków
Polen",,,,Zur Homepage
65963457,Vahatra,"Postfach BP 738
Vahatra Antananarivo
Madagaskar",,,,
138464774,ARCUS - Sportklinik,"Rastatter Straße 17-19
75179 Pforzheim
Deutschland",+49 7231 60556-0,+49 7231 60556-3044,info@sportklinik.de,Zur Homepage
55150035,Université de Toulouse II Jean Jaurès,"5 allées Antonio Machado
31058 Toulouse Cedex 9
Frankreich",+33 5 61504250,+33 5 61504209,,Zur Homepage
320026421,Department of Biology Stanford University,"Serra Mall 371
Stanford 94305-5020
USA",,,,Zur Homepage
78271647,dab: Daten - Analysen & Beratung GmbH,"Ulrichsberger Straße 17
94469 Deggendorf
Deutschland",,,,
283811556,University of Jerusalem Herbarium The National Natural History Collections The Hebrew,"Givat Ram Berman
Jerusalem 91904
Israel",,,,
21093340,Université de Picardie Jules Verne,"Chemin du Thil
80 025 Amiens
Frankreich",+33 322 82-7272,+33 322 82-7043,upjv.infos@u-picardie.fr,Zur Homepage
13040966,Kiev Polytechnic Institute,"Pobeda Ave 37
03056 Kiev
Ukraine",+380 44 236-79-89,,,Zur Homepage
324375550,Department of Infection and Immunity Luxembourg Institute of Health,"29, rue Henri Koch
4354 Esch-sur-Alzette
Luxemburg",,,,
50151544,Université de Cergy-Pontoise,"33 boulevard du Port
95011 Cergy Pontoise cedex
Frankreich",+33 134 25-6000,,,Zur Homepage
19944540,The University of Tokyo,"Hongo, Bunkyoku
153-8902 Tokyo
Japan",+81 3 0812-2111,,,Zur Homepage
38662152,Louisiana State University,"
Baton Rouge LA 70803
USA",,,,Zur Homepage
74688212,Fundacja na rzecz Nauki Polskiej (Foundation for Polish Science),"I. Krasickiego 20/22
02-611 Warszawa
Polen",+48 22 8459500,,,Zur Homepage
117349500,National Yang-Ming University,"155 Li-Nong St.
Taipei
Taiwan",+886 2 2820-1091,+886 2 2826-4051,,Zur Homepage
188502686,Academy of Sciences of the Czech Republik Biology Center Institute of Parasitology,"Branisovska 31
370 05 Ceske Budejovice
Tschechische Republik",+420 38 5310351,+420 38 5310388,eva@paru.cas.cz,Zur Homepage
230427166,Andritz Kaiser GmbH Gewerbestraße 30,"
75015 Bretten
Deutschland",+49 7252 910130,,stefan.kaiser@andritz.com,
299276882,Université Claude Bernard Lyon 1 Institute of Researches on Catalysis and Environment in Lyon Catalyst and Process Engineering Group (ING),"Avenue A. Einstein 2
69626 Villeurbanne
Frankreich",,,,Zur Homepage
16562,Goethe-Universität Frankfurt am Main Fachbereich Sprach- und Kulturwissenschaften Institut für Klassische Philologie,"Norbert-Wollheim-Platz 1
60323 Frankfurt am Main
Deutschland",+49 69 798-32452,+49 69 798-32453,philhofer@em.uni-frankfurt.de,Zur Homepage
20753328,Institut für Medizinische Strahlenkunde und Zellforschung der Universität Würzburg,"Versbacher Straße 5
97078 Würzburg
Deutschland",,,,
134144629,"Ramem Dr. Esther Hontanon, Sambara 33 Madrid Spain","
Madrid
Spanien",+34 34 914044575,,e.hontanon@ramem.com,Zur Homepage
20765112,Kyung Hee University,"1 Hoegi-dong, Dongdaemun-gu
Seoul 130-701
Süd-Korea",+82 2 961-0114,,cie@khu.ac.kr,Zur Homepage
289858112,Facultad de Arquitectura Diseno y Urbanismo,"Ciudad Universitaria, Pabéllon III
1482 Nunez Buenos Aires
Argentinien",,,,
64632128,Museo Paleontológico Egidio Feruglio,"Av. Fontana 140
CP 9100 Trelew Chubut
Argentinien",,,,Zur Homepage
30229,Max-Delbrück-Centrum für Molekulare Medizin (MDC) Forschungsprogramm Herz-Kreislauf- und Stoffwechselerkrankungen,"Robert-Rössle-Straße 10
13125 Berlin
Deutschland",+49 30 9406-2530,+49 30 9406-3147,nhuebner@mdc-berlin.de,Zur Homepage
248339853,Greiner Perfoam GmbH,"Mainstr. 1
4470 Ens
Österreich",,,markus.draxler@greiner-perfoam.com,Zur Homepage
35285397,Paracelsus Medizinische Privatuniversität,"Strubergasse 21
A-5020 Salzburg
Österreich",+43 662 442002-0,+43 662 442002-1209,lydia.gruber@pmu.ac.at,Zur Homepage
243493401,Assam University,"
Silchar 788 011
Indien",+91 3 842-270806,+91 3 842-270802,vc@aus.ac.in,Zur Homepage
87815626,Korea Institute of Geosciences and Mineral Resources,"Gwahang-no 92
Daejeon 305-350
Süd-Korea",,,,Zur Homepage
401830223,"Universidad Pablo de Olavide Geografia, Historia y Filosofia Centro Universitario Internacional","
41013 Sevilla
Spanien",,,,
249763475,Leiden University College - The Hague,"P.O. Box 13228
2501 EE Den Haag
Niederlande",+31 70 800-9503,,info@luc.leidenuniv.nl,Zur Homepage
72311822,Etosha National Park Etosha Ecological Institute,"
Okaukuejo
Namibia",,,,
21092636,University of Alaska Fairbanks,"P.O. Box 757500
Fairbanks AK 99775
USA",+1 907 474-7211,,,Zur Homepage
21091732,Leiden University,"PO Box 9500
2300 RA Leiden
Niederlande",+31 71 527-2727,+31 71 527-3118,info@leidenuniv.nl,Zur Homepage
16319208,State University of New York - Stony Brook Department of Sociology,"
Stony Brook , NY 11794-4356
USA",,,,
13983368,The University of Texas at San Antonio,"One UTSA Circle
San Antonio TX 78249
USA",+1 210 4584011,,,Zur Homepage
55948829,Stanford University Center of European Studies,"
Stanford CA 94305-2024
USA",+1 650 723-2651,+1 650 725-0597,,Zur Homepage
21091176,University of Fort Hare,"
Alice 5700
Südafrika",,,,Zur Homepage
223130841,INRIA-TREC,"23 avenue d'Italie
75214 Paris Cedex 13
Frankreich",+33 1 44322052,+33 1 44322015,Francois.Baccelli@ens.fr,Zur Homepage
244821825,ex oriente e.V. c/o Institut für Vorderasiatische Altertumskunde Freie Universität Berlin,"Hüttenweg 7
14195 Berlin
Deutschland",+49 30 98-311246,,,Zur Homepage
56071244,Mie University,"1577 Kurimamachiya-cho
Tsu-shi
Japan",+81 59 232-1211,,,Zur Homepage
20761286,Russische Akademie der Wissenschaften Ural Branch Institut für Wärmephysik,"Perwomaiskaya Straße 91
620219 Yekaterinburg GSP-170
Russische Föderation",,,,
30444,Robert Bosch Gesellschaft für medizinische Forschung mbH Dr. Margarete Fischer-Bosch-Institut für Klinische Pharmakologie (IKP),"Auerbachstraße 112
70376 Stuttgart
Deutschland",+49 711 8101-3700,+49 711 859295,ikp@ikp-stuttgart.de,Zur Homepage
289486154,Institute of Experimental Botany Centre of Plant Structural and Functional Genomics,"Slechtitelu 31
78371 Olomouc - Holice
Tschechische Republik",,,,
20745200,Goethe Institut Inter Nationes,"atatürk Bulvari No: 131
06640 Ankara
Türkei",,,,
376818953,Department of Forestry Faculty of Natural Resources Urmia University,"P.O. Box 165
Urmia
Iran",,,,
262514,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) Standort Stuttgart,"Pfaffenwaldring 38-40
70569 Stuttgart
Deutschland",+49 711 6862-311,+49 711 6862-636,,Zur Homepage
67130896,Universidad Autonóma de Yucatán,"Calle 60 Nro 491-A por 57
97000 Mérida Yucatán
Mexiko",+52 999 9300900,,,Zur Homepage
42247071,Murdoch University,"South Street
Murdoch 6150
Australien",+61 8 93606000,,,Zur Homepage
279299298,Nanjing University of Aeronautics & Astronautics College of Astronautics,"29 Yudao Street
Nanjing 210016
China",,,,
166044112,Polish Academy of Science Zabrze Institute of Environmental Engineering,"ul. M. Sklodowskiej-Curie 34
41-819 Zabrze
Polen",,,,
234957009,VRVis Zentrum für Virtual Reality und Visualisierung Forschungs-GmbH,"Donau-City-Strasse 1
1220 Wien
Österreich",+43 1 20501-30100,+43 1 20501-30900,Office@VRVis.at,Zur Homepage
41304708,MRB Forschungszentrum für Magnet-Resonanz-Bayern e.V.,"Am Hubland
97074 Würzburg
Deutschland",+49 931 888-5109,+49 931 888-5851,info@mr-bavaria.de,Zur Homepage
40301363,The Open University,"Walton Hall
Milton Keynes MK7 6AA
Großbritannien",+44 1908 274066,,sec-gen@open.ac.uk,Zur Homepage
20087517,Université de Haute-Alsace,"2, rue des Frères Lumière
68093 Mulhouse Cedex
Frankreich",+33 3 89336000,+33 3 89336319,webmaster@uha.fr,Zur Homepage
10464,Max-Planck-Institut für Mathematik,"Vivatsgasse 7
53111 Bonn
Deutschland",+49 228 402-0,+49 228 402-277,info@mpim-bonn.mpg.de,Zur Homepage
200451762,Klinikum Memmingen,"Bismarckstraße 23
87700 Memmingen
Deutschland",+49 8331 70-0,,,Zur Homepage
186718994,Ecole Nationale de la Météorologie,"42, avenue Gaspard Coriolis
31057 Toulouse
Frankreich",,,,Zur Homepage
48513153,Evangelische Kliniken Gelsenkirchen,"Munckelstrasse 27
45879 Gelsenkirchen
Deutschland",+49 209 160-0,,info@evk-ge.de,Zur Homepage
262706,Université Montesquieu Bordeaux IV,"Avenue Léon Duguit
33608 Pessac cedex
Frankreich",,,,Zur Homepage
10627,"Ministerium für Wissenschaft, Forschung und Kultur des Landes Brandenburg","Dortustraße 36
14467 Potsdam
Deutschland",+49 331 866-4999,+49 331 866-4998,mwfk@mwfk.brandenburg.de,Zur Homepage
970776,Laser-Laboratorium Göttingen e.V. (LLG),"Hans-Adolf-Krebs-Weg 1
37077 Göttingen
Deutschland",+49 551 5035-0,+49 551 5035-99,info@llg-ev.de,Zur Homepage
202784755,Andalas University,"Kampus Limau Manis
25163 Padang
Indonesien",,,,Zur Homepage
10290,Universität Witten/Herdecke,"Alfred-Herrhausen-Straße 50
58455 Witten
Deutschland",+49 2302 926-0,+49 2302 926-407,public@uni-wh.de,Zur Homepage
214118497,BSH Bosch und Siemens Hausgeräte GmbH,"Carl-Wery-Straße 34
81739 München
Deutschland",,,,
28720,Institut für Theologie und Frieden,"Herrengraben 4
20459 Hamburg
Deutschland",+49 40 670859-0,+49 40 670859-30,sekretariat@ithf.de,Zur Homepage
14762816,The Victor Chang Cardiac Research Institute,"405 Liverpool Street
Darlinghurst NSW 2010
Australien",+61 2 9295-8600,+61 2 9295-8601,info@victorchang.edu.au,Zur Homepage
20767076,Joint Replacement Institute at Orthopaedic Hospital,"2400 S. Flower Street
Los Angeles CA 90007
USA",,,,Zur Homepage
168325593,"Istituto Dermopatico dell'Immacolata, IRCCS Laboratory of Molecular and Cell Biology","
Roma
Italien",,,,
57198213,Machine Learning and Inferece Laboratory George Mason University,"4260 Chain Bridge Road
Fairfax VA 22030
USA",+1 703 993-0,,,
288402294,Radboud University Medical Centre Experimental Rheumatology RIMLS (route 272),"Geert Grooteplein 28
6525 Nijmegen
Niederlande",,,,
20709230,Institut für Physiologische Chemie II der Universität Düsseldorf,"Moorenstraße 5
40225 Düsseldorf
Deutschland",,,,
270475101,Tel Aviv University Kantor Center for the Study of Contemporary European Jewry,"Ramat Aviv
Tel Aviv 6139001
Israel",,,,
58897620,Food and Agriculture Organization of the United Nations,"Viale delle Terme di Caracalla
00100 Roma
Italien",+39 6 57051,+39 6 57053152,,
20759830,Tibet Academy of Agricultural and Animal Sciences (TAAAS),"
Tibet
China",,,,
20558,Herzzentrum Dresden GmbH Universitätsklinik an der Technischen Universität Dresden,"Fetscherstraße 76
01307 Dresden
Deutschland",+49 351 450-0,+49 351 450-1552,a.stork@herzzentrum-dresden.com,Zur Homepage
774816,Tilburg University,"Wrandelaan 2
5000 LE Tilburg
Niederlande",,,tilburguniversity@uvt.nl,Zur Homepage
245726940,KWS POTATO B.V.,"Gildenweg 15
8300 BA Emmeloord
Niederlande",+31 527 630555,+31 527 630550,potato@kws.com,Zur Homepage
211877987,Bureau Beta,"Carnotstraat 2
6533 DT Nijmegen
Niederlande",+31 24 3440669,+31 24 3444457,broekman@beta.nl,Zur Homepage
51687978,University of Greenwich,"Park Row, Greenwich
London SE10 9LS
Großbritannien",,,,Zur Homepage
161425730,European Commission DG-JRC Institute for Energy Cleaner Energies Unit,"PO box 2
1755 ZG Petten
Niederlande",,,,Zur Homepage
63813350,HortResearch Sustainable Land Use team,"Tennent Drive, Private Bag 11030
Palmerston North
Neuseeland",,,,Zur Homepage
194642428,EHESP - École des Hautes Études en Santé Publique School of Public Health,"Avenue du Professeur Léon Bernhard
35043 Rennes cedex
Frankreich",,,,Zur Homepage
68707703,HARTING Applied Technologies GmbH,"Wilhelm-Harting-Straße 1
32339 Espelkamp
Deutschland",+49 5772 47-97500,+49 5772 47-537,HARTING.Applied@HARTING.com,Zur Homepage
10637,Heinrich-Pette-Institut Leibniz-Institut für Experimentelle Virologie (HPI),"Martinistraße 52
20251 Hamburg
Deutschland",+49 40 48051-0,+49 40 48051-103,hpi@leibniz-hpi.de,Zur Homepage
30464,Forschungsinstitut für Philosophie,"Gerberstraße 26
30169 Hannover
Deutschland",+49 511 16409-30,+49 511 16409-35,kontakt@fiph.de,Zur Homepage
21092856,Osmania University,"
Hyderabad 500 007
Indien",+91 40 7018951,+91 40 7019020,emailid@osmania.ac.in,Zur Homepage
290140169,IG Bauplan GmbH,"Eisenbahnstr. 68
67655 Kaiserslautern
Deutschland",,,,Zur Homepage
210969201,University of South Australia,"GPO Box 2471
Adelaide SA 5001
Australien",+61 8 8302-6611,+61 8 8302-2466,study@unisa.edu.au,Zur Homepage
355251618,Evangelische Kirche A.B. Kronstadt,"Curtea Johannes Honterus 2
500025 Brasov
Rumänien",+40 268 511824,+40 268 511825,info@biserica-neagra.ro,Zur Homepage
277312053,Adam Mickiewicz University Faculty of English Department of English-Polish Comparative Linguistics,"al. Niepodleglosci 4
61-874 Poznan
Polen",+48 61 8293506,+48 61 8523103,,Zur Homepage
55805928,Gebr. Heller Maschinenfabrik GmbH,"Gebrüder-Heller-Straße 15
72622 Nürtingen
Deutschland",+49 7022 77-0,+49 7022 77-5000,info@heller.biz,Zur Homepage
316853939,Developmental Biology Lab UMR 7622 CNRS Institut de Biologie Paris Seine (IBPS) Sorbonne Universités,"quai Saint Bernard 9
75252 Paris Cedex 05
Frankreich",,,,
249972935,Stadt Nordhausen,"Markt 1
99734 Nordhausen
Deutschland",+49 3631 696-0,+49 3631 696-150,rathaus@nordhausen.de,Zur Homepage
391469144,Concordia University Department of Computer Science and Software Engineering,"1455 de Maisonneuve Blvd. W.
Montreal QC H3G 1M8
Kanada",,,,
290137692,Department of History University of Beer Sheva,"Postfach PO Box 653
Beer Sheva 84105
Israel",,,,
20710838,Swiss Tropical and Public Health Institute,"Socinstrasse 57
4051 Basel
Schweiz",+41 61 284-8111,+41 61 284-8101,library-sti@unibas.ch,Zur Homepage
233823194,Institute for Low Temperature Physics & Engineering (ILTPE),"47 Lenin Ave.
Charkov 61103
Ukraine",+380 57 340-22-23,+380 57 340-33-70,ilt@ilt.kharkov.ua,Zur Homepage
356030258,Institut für Physik Universität Graz,"Universitätsplatz 5
8010 Graz
Österreich",,,,Zur Homepage
65492877,Klinik Löwenstein gGmbH,"Im Geißhölzle 62
74245 Löwenstein
Deutschland",+49 7130 15-0,+49 7130 15-4311,,Zur Homepage
50684743,Samarkand State University,"University Boulevard, 15
140104 Samarkand
Usbekistan",+998 66 235-16-02,,support@samdu.uz,Zur Homepage
20692416,Hoogleraar Geschiedenis Faculteit der Historischen Kunstwetenschappen,"Postbus 1738
3000 Rotterdam
Niederlande",,,,
273928939,Universitair Medisch Centrum Groningen (UMCG),"Hanzeplein 1
9713 GZ Groningen
Niederlande",,,,Zur Homepage
18837751,Newham Centre for Mental Health,"
London E13 8SP
Großbritannien",,,,
396703161,University of Amsterdam Brain & Cognition Department of Psychology,"Nieuwe Achtergracht 129-B
1018WT Amsterdam
Niederlande",,,,
52711758,Independent University,"Road-11, Suhrawardy Avenue 81
Dhaka 1212
Bangladesch",+880 00 9884498263,,,Zur Homepage
223973623,King Abdullah University of Science and Technology (KAUST),"4700 King Abdullah University
Thuwal 23955-6900
Saudi-Arabien",,,,Zur Homepage
430475,Tschechische Akademie der Wissenschaften Institut für Makromolekulare Chemie,"
Praha
Tschechische Republik",,,,
10532,Europa-Universität Flensburg,"Auf dem Campus 1
24943 Flensburg
Deutschland",+49 461 805-02,+49 461 805-2144,praesidium@uni-flensburg.de,Zur Homepage
289350084,Alexandria University Departmen of Electrical Engineering,"22 Al-Guish Avenue
Alexandria 21526
Ägypten",,,,
248339156,Rühl Puromer GmbH,"Hugenottenstr. 105
61381 Friedrichsdorf
Deutschland",,,juergen.emig@ruehl-ag.com,
52834530,AIT Austrian Institute of Technology,"Muthgasse 11/2
1190 Wien
Österreich",+43 1 66462-07708,+43 1 50550-4399,Renate.Naumann@ait.ac.at,Zur Homepage
44929790,Universitat de Girona,"Pl. Sant Domènec 3
17071 Girona
Spanien",+34 972 418000,,,Zur Homepage
168653910,Hautzentrum Prof. Hengge,"Postfach 24 01 04
40090 Düsseldorf
Deutschland",+49 221 17933044,,info@hautzentrum-hengge.de,
10659,Kirchliche Hochschule Wuppertal/Bethel Hochschule für Kirche und Diakonie,"Missionsstraße 9a/b
42285 Wuppertal
Deutschland",+49 202 2820-100,+49 202 2820-101,info@kiho-wuppertal-bethel.de,Zur Homepage
287028277,Al-Quds University Faculty of Arts Development Studies,"PO Box 6
Ramallah
Palästina",,,,
266950985,"University of Oxford Blackfriars Hall, St. Giles","
Oxford OX1 3LY
Großbritannien",,,,
970765,Zentral- und Landesbibliothek Berlin (ZLB),"Blücherplatz 1
10961 Berlin
Deutschland",+49 30 90226-0,+49 30 90226-420,info@zlb.de,Zur Homepage
281437090,Penn State College Departement of Education Policy Studies Rackley Building 310A Pennsylvania University Park Penn State PA 16802,"
University Park PA 16802
USA",,,,
104534572,Stanford University Department of Sociology,"Main Quad - 450 Serra Mall
Stanford CA 94305-2047
USA",,,,Zur Homepage
242225721,Krankenhaus Barmherzige Brüder München,"Romanstraße 39
80639 München
Deutschland",+49 89 1797-0,+49 89 1781194,info@barmherzige-muenchen.de,Zur Homepage
40423489,Arab American University-Jenin,"Postfach P.O. Box 240
Jenin West Bank
Palästina",+972 4 251-0801,+972 4 251-0810,admin@aauj.edu,Zur Homepage
271339817,Immune Design Corporation,"1616 Eastlake Ave. E.,
Seattle WA 98102
USA",,,,Zur Homepage
23344090,Chulalongkorn University,"Phayathai Road, Patumwan 254
Bangkok 10330
Thailand",+66 2215 0871-3,+66 2215 4804,info@chula.ac.th,Zur Homepage
266937742,Department of Physics,"Postfach PO Box 692
33101 Tampere
Finnland",,,,Zur Homepage
